Name,Amp,Per,Thresh,Peak1,Peak2
"HD 155712 ",0.2296,9.33,3.15,5.12,0.85
"HD 156279 ",0.1783,12.5,2.19,1.63,0.37
"HD 156668 ",0.2462,11.38,1.95,2.37,0.19
"HD 156985 ",0.3036,7.82,2.34,5.9,0.42
"HD 158633 ",0.178,11.83,2.13,1.51,0.9
"HD 159062 ",0.1738,16.85,2.68,2.38,0.55
"HD 16160  ",0.2371,12.43,2.31,3.4,0.48
"HD 168009 ",0.1616,17.52,1.79,0.96,0.47
"HD 170493 ",0.4691,8.75,1.26,3.33,0.98
"HD 172051 ",0.1719,8.36,2.08,1.35,0.55
"HD 17230  ",0.8034,15.2,0.24,0.53,0.13
"HD 18143  ",0.1801,13.67,2.98,2.91,0.4
"HD 182488 ",0.1704,11.54,2.79,2.34,0.35
"HD 183263 ",0.1576,7.0,2.85,2.07,0.19
"HD 185144 ",0.2179,5.93,1.94,1.78,0.2
"HD 186408 ",0.1534,20.2,1.68,0.79,0.25
"HD 18803  ",0.1894,5.04,2.2,1.75,0.31
"HD 190406 ",0.1919,15.02,1.21,0.64,0.47
"HD 191408 ",0.1978,16.77,2.56,2.56,0.76
"HD 192310 ",0.2171,10.67,4.12,14.26,0.94
"HD 19308  ",0.1627,22.28,3.11,2.86,0.4
"HD 196761 ",0.1785,11.4,3.79,7.29,1.63
"HD 197076 ",0.1886,5.31,3.17,4.27,2.33
"HD 199305 ",1.6523,6.3,0.24,1.61,1.11
"HD 201091 ",0.6256,7.17,0.68,1.75,0.38
"HD 20165  ",0.2289,7.78,3.03,6.05,0.76
"HD 202751 ",0.2474,12.49,3.03,6.29,0.52
"HD 20619  ",0.2023,4.42,2.43,2.63,0.58
"HD 208313 ",0.3012,5.96,1.8,2.57,0.68
"HD 209458 ",0.1616,4.79,1.96,1.13,0.73
"HD 210302 ",0.1609,5.85,1.65,0.83,0.55
"HD 213042 ",0.4273,8.01,1.34,2.97,1.23
"HD 215152 ",0.2642,8.04,1.71,2.03,0.62
"HD 216259 ",0.1938,15.96,3.62,7.17,0.88
"HD 216520 ",0.2015,19.19,2.25,2.11,0.48
"HD 218566 ",0.2967,9.66,2.66,6.1,0.31
"HD 218868 ",0.2133,4.84,2.43,2.78,0.4
"HD 219134 ",0.2758,13.27,2.25,4.33,0.33
"HD 219538 ",0.2516,7.09,1.88,2.24,1.26
"HD 219834B",0.2059,9.7,3.61,6.77,0.77
"HD 220339 ",0.2675,5.87,2.17,3.03,1.25
"HD 221354 ",0.1599,18.84,1.51,0.71,0.19
"HD 224619 ",0.1702,18.06,2.57,1.99,1.04
"HD 239960 ",1.4673,15.78,0.32,0.88,0.49
"HD 24496  ",0.2008,5.86,2.87,3.27,0.58
"HD 25329  ",0.1952,6.01,2.36,2.16,0.33
"HD 25665  ",0.3042,6.52,1.68,2.47,0.53
"HD 26151  ",0.2061,16.35,3.24,5.25,0.4
"HD 26161  ",0.1531,20.12,1.79,0.87,0.37
"HD 26965  ",0.206,9.11,2.13,1.92,0.42
"HD 28005  ",0.1633,13.79,2.8,2.28,0.68
"HD 28946  ",0.2443,5.9,2.38,3.29,1.49
"HD 29883  ",0.1958,14.0,3.48,6.49,0.42
"HD 31253  ",0.1526,13.08,1.48,0.66,0.43
"HD 32147  ",0.2933,9.53,0.93,0.74,0.26
"HD 34445  ",0.1665,23.01,1.69,0.91,0.23
"HD 36003  ",0.4252,10.98,1.44,3.64,0.72
"HD 36395  ",2.0485,2.3,0.21,1.63,1.22
"HD 3651   ",0.1788,10.01,3.14,3.38,0.35
"HD 37008  ",0.1821,21.27,1.37,0.76,0.27
"HD 3765   ",0.2186,12.8,3.18,5.96,0.31
"HD 38230  ",0.1642,23.15,2.32,1.54,0.81
"HD 38529  ",0.1734,5.46,2.63,2.02,0.54
"HD 4256   ",0.2639,9.66,1.73,1.93,0.32
"HD 42618  ",0.1639,10.16,2.83,2.3,0.19
"HD 43947  ",0.1586,12.88,2.12,1.26,0.52
"HD 4628   ",0.2173,7.91,2.73,3.46,0.81
"HD 4747   ",0.2676,4.9,1.43,1.41,0.65
"HD 4915   ",0.2046,4.86,1.72,1.19,0.42
"HD 49674  ",0.1977,4.05,1.12,0.62,0.36
"HD 50499  ",0.1516,3.69,2.51,1.56,0.76
"HD 51419  ",0.1948,23.43,2.09,1.67,0.23
"HD 51866  ",0.3395,7.17,0.98,1.1,0.3
"HD 52711  ",0.1602,13.96,2.91,2.42,0.49
"HD 62613  ",0.2089,5.75,3.27,5.28,0.9
"HD 65277  ",0.2543,12.19,2.66,6.53,0.51
"HD 68988  ",0.163,5.29,2.67,1.99,0.62
"HD 69830  ",0.1734,10.83,1.84,1.12,0.6
"HD 72673  ",0.1866,10.47,4.03,9.65,1.67
"HD 73667  ",0.1717,19.0,2.33,1.64,0.59
"HD 74156  ",0.1476,16.01,2.05,1.05,0.19
"HD 75732  ",0.1973,11.02,3.79,6.74,0.27
"HD 7924   ",0.2285,7.49,2.4,3.15,0.27
"HD 80606  ",0.1566,16.27,1.96,1.06,0.34
"HD 82943  ",0.1716,2.96,1.56,0.84,0.28
"HD 8389   ",0.2158,10.67,3.24,4.31,0.42
"HD 84035  ",0.5291,8.03,0.95,2.16,0.73
"HD 87359  ",0.2047,4.4,1.91,1.64,0.82
"HD 87883  ",0.278,7.83,1.85,2.93,0.52
"HD 89269  ",0.1698,16.95,2.84,2.63,0.37
"HD 90875  ",0.7309,18.71,0.84,2.38,0.62
"HD 9562   ",0.1509,15.39,1.57,0.71,0.29
"HD 97658  ",0.2074,9.01,3.64,8.63,0.3
"HD 98281  ",0.1801,15.51,2.53,2.33,0.94
"HD 99491  ",0.2128,6.15,2.61,3.26,0.33
"HD 99492  ",0.282,9.81,1.97,2.81,0.19
"HD 9986   ",0.1794,5.03,1.87,1.23,0.68
"GL239     ",1.0562,15.24,0.38,1.39,0.86
"GL273     ",0.8215,2.94,0.3,0.66,0.33
"GL699     ",0.847,8.48,0.27,0.5,0.31
"HIP19165  ",0.7498,5.68,0.43,0.94,0.69
"HIP41689  ",0.9481,3.03,0.23,0.56,0.38
"HIP74995  ",0.5778,3.8,0.38,0.58,0.17
"S130811   ",1.1601,13.58,0.45,2.27,0.43
